output,parameter,mu,mu_star,sigma
mean_lambda,beta,0.9611312478442859,1.8215192160690126,2.9088204441925645
mean_lambda,finders_share,-0.37643186900059705,1.0363412848000675,2.0443370711881563
mean_lambda,r,0.17420252224869057,1.3553994514122985,2.232696976561422
mean_lambda,patch_scale,0.24250833419192844,1.360026276094135,2.451355192603178
mean_lambda,sigma,-0.14937680368059203,1.1424693749874988,2.1867797733593783
mean_lambda,q,-0.07944592322592657,1.1974934088854678,2.1646601893865993
mean_lambda,c,-0.09146467778066197,1.520118744449602,2.5542688307605776
mean_lambda,v,-0.786175249342805,1.3770141912629832,2.3032421083331864
mean_lambda,C_birth,-0.3477031366174811,1.9336259802360554,2.960584896716861
scrounge_rate,beta,0.10854448957639291,0.18893404857019638,0.25894336641915566
scrounge_rate,finders_share,-0.03405562105323569,0.11696037541371199,0.21749448745419434
scrounge_rate,r,-0.015072735489960585,0.14937106360482325,0.2570722541647506
scrounge_rate,patch_scale,0.031122406121986596,0.1338118383363985,0.24217710556380798
scrounge_rate,sigma,-0.012629431527157824,0.11633398266745207,0.21630783616512858
scrounge_rate,q,0.010227716198837994,0.1142212952680391,0.20380484264971602
scrounge_rate,c,0.050808790457535995,0.11648679822017528,0.20618247631341408
scrounge_rate,v,-0.01483913572160917,0.13708945405834602,0.2160187630748514
scrounge_rate,C_birth,-0.013183129967241997,0.1906839809703222,0.2936725180609424
network_mean_degree,beta,2.6734249609512757,4.318948515583796,8.426396202733876
network_mean_degree,finders_share,0.5865800371857767,3.463594641892102,7.9744218415997725
network_mean_degree,r,-3.1793571694085685,5.272081836584279,11.745079735104719
network_mean_degree,patch_scale,0.6010790283502145,2.897485208806104,6.414465311332336
network_mean_degree,sigma,-1.4867840407167552,2.781445597686164,5.691280443225093
network_mean_degree,q,-1.5756218547112448,2.1430631839144616,5.810318671968688
network_mean_degree,c,1.4023973764795148,2.425844001232877,7.116127075253542
network_mean_degree,v,0.0003777175491939594,2.3185854505998975,4.825017346804714
network_mean_degree,C_birth,1.65502503614404,5.455394177694527,12.5662797731033
network_lcc_fraction,beta,0.2515802402912914,0.4431253427805849,0.6046837468995852
network_lcc_fraction,finders_share,-0.02686827515167471,0.20197368351364786,0.3682984110959352
network_lcc_fraction,r,-0.08494491134107665,0.3480075301037427,0.5250447269934434
network_lcc_fraction,patch_scale,0.0409894580862224,0.291389499420576,0.4800246533205702
network_lcc_fraction,sigma,-0.032405797521651035,0.2763308518231629,0.4912835490849715
network_lcc_fraction,q,-0.12614563442362345,0.21321658146416908,0.38124981738480224
network_lcc_fraction,c,0.09304852134723854,0.30539114477997886,0.5070086215286352
network_lcc_fraction,v,-0.026022900636745828,0.29468479366608497,0.5039779903284164
network_lcc_fraction,C_birth,0.0003215206546036828,0.4262667087944539,0.6297156586871805
mean_fish_density,beta,-0.030440639201611542,0.1717594184996946,0.2858754285445893
mean_fish_density,finders_share,-0.047190834380563644,0.1283975658360367,0.2440590733455146
mean_fish_density,r,-0.04537685206800683,0.12882949790450754,0.22082302094084807
mean_fish_density,patch_scale,-0.03411362491435003,0.11897967337721653,0.21096571635241673
mean_fish_density,sigma,-0.03192208218903944,0.134222544651928,0.2743612452865066
mean_fish_density,q,-0.06059990699236936,0.09189987520089474,0.2051120378510411
mean_fish_density,c,-0.006277404327090407,0.14082518047906892,0.2627612648896842
mean_fish_density,v,0.000499036125600653,0.1432544508232664,0.24366994032816716
mean_fish_density,C_birth,-0.030960338971678155,0.1316750056429142,0.210034684640795
fleet_size,beta,127.31957446808514,151.79276595744682,243.04968380038517
fleet_size,finders_share,3.6644680851063844,114.59297872340423,277.9829205795745
fleet_size,r,70.47808510638298,180.0844680851064,497.73252868530795
fleet_size,patch_scale,24.910000000000018,127.54744680851064,379.9548695168485
fleet_size,sigma,25.52765957446808,112.23276595744682,209.55181336255185
fleet_size,q,64.01617021276597,78.4068085106383,267.6720249756763
fleet_size,c,115.1929787234043,220.71723404255317,745.0741202169228
fleet_size,v,24.28531914893614,192.6112765957447,574.7637808581095
fleet_size,C_birth,29.599574468085102,244.23702127659573,673.8429519423821
wealth_gini,beta,0.05472601081404351,0.12425197191747105,0.19961262391549844
wealth_gini,finders_share,-0.02883748898417953,0.06918558916065684,0.13635616214209229
wealth_gini,r,0.008349147485164427,0.09717632052970822,0.15886215676277635
wealth_gini,patch_scale,0.02748841328822347,0.09873436424918758,0.16774531842088297
wealth_gini,sigma,0.012483599459843172,0.09163733523017428,0.16903047270515126
wealth_gini,q,0.013725964043866182,0.07983308439660304,0.1643987237180884
wealth_gini,c,0.02138773812383369,0.08820969720259937,0.16866429510418957
wealth_gini,v,-0.03621369232107435,0.11282137212372459,0.19138647862749422
wealth_gini,C_birth,-0.027182638735561242,0.1541626619608306,0.22204155850151866
