row_index,param,level,value
0,baseline,0,
1,beta,0,0.5
2,beta,1,1.25
3,beta,2,2.0
4,beta,3,2.75
5,beta,4,3.5
6,beta,5,4.25
7,beta,6,5.0
8,finders_share,0,0.2
9,finders_share,1,0.30000000000000004
10,finders_share,2,0.4
11,finders_share,3,0.5
12,finders_share,4,0.6000000000000001
13,finders_share,5,0.7000000000000002
14,finders_share,6,0.8
15,r,0,0.05
16,r,1,0.09166666666666667
17,r,2,0.13333333333333333
18,r,3,0.175
19,r,4,0.21666666666666667
20,r,5,0.2583333333333333
21,r,6,0.3
22,patch_scale,0,0.05
23,patch_scale,1,0.09166666666666667
24,patch_scale,2,0.13333333333333333
25,patch_scale,3,0.175
26,patch_scale,4,0.21666666666666667
27,patch_scale,5,0.2583333333333333
28,patch_scale,6,0.3
29,sigma,0,0.1
30,sigma,1,0.25
31,sigma,2,0.4
32,sigma,3,0.5499999999999999
33,sigma,4,0.7
34,sigma,5,0.85
35,sigma,6,1.0
36,q,0,0.05
37,q,1,0.175
38,q,2,0.3
39,q,3,0.425
40,q,4,0.55
41,q,5,0.675
42,q,6,0.8
43,c,0,0.0
44,c,1,0.049999999999999996
45,c,2,0.09999999999999999
46,c,3,0.15
47,c,4,0.19999999999999998
48,c,5,0.24999999999999997
49,c,6,0.3
50,v,0,1.0
51,v,1,1.6666666666666665
52,v,2,2.333333333333333
53,v,3,3.0
54,v,4,3.6666666666666665
55,v,5,4.333333333333333
56,v,6,5.0
57,C_birth,0,1.0
58,C_birth,1,1.6666666666666665
59,C_birth,2,2.333333333333333
60,C_birth,3,3.0
61,C_birth,4,3.6666666666666665
62,C_birth,5,4.333333333333333
63,C_birth,6,5.0
