output,parameter,S1,S1_conf,ST,ST_conf
mean_lambda,C_birth,0.009043683451803702,0.055056564855709554,0.11046361495582029,0.03569876572725427
mean_lambda,c,0.24911978517264569,0.2141639666860647,0.6329131458118777,0.14837020850427193
mean_lambda,v,-0.014555055897015692,0.05088254292375684,0.11439937810824753,0.04869069573753421
mean_lambda,r,-0.029549300182187446,0.058413825937602734,0.16685046805810402,0.07152398756490189
mean_lambda,beta,0.4070139822306389,0.1920384509649407,0.7580318495794245,0.18495565250491458
scrounge_rate,C_birth,0.007439709083358627,0.029712014744554333,0.04840551452913787,0.015471223800527758
scrounge_rate,c,0.31954407109831146,0.14690933677371318,0.6900676685617186,0.18769575688517623
scrounge_rate,v,0.11946167995716424,0.06917317740459655,0.1685156732546256,0.05111605839472952
scrounge_rate,r,0.02349142441399583,0.06122145165346854,0.11902096821554257,0.03636871504049154
scrounge_rate,beta,0.19310833843832598,0.16751010267945501,0.5509269991454615,0.1276147927323767
network_mean_degree,C_birth,0.023292547595069553,0.02572168980988854,0.046144707106137904,0.02528961682461568
network_mean_degree,c,0.1220324399059976,0.08777280724992804,0.4203961390338781,0.20588686903426184
network_mean_degree,v,0.2918512011119122,0.17544592393817424,0.44354807032800164,0.133767684543226
network_mean_degree,r,0.18528997558771795,0.10807025539232125,0.2993506347813951,0.09475449891602825
network_mean_degree,beta,0.11861900871717761,0.06856833802887428,0.21142019681362537,0.09932825166057939
network_lcc_fraction,C_birth,0.023382303559844313,0.03239408399001601,0.046760425040183226,0.010803706312034323
network_lcc_fraction,c,0.09939158139843794,0.09428565221585981,0.2409923473046302,0.06906276070521832
network_lcc_fraction,v,0.3694037279493864,0.11243698834578016,0.5681553742953144,0.11353529974429101
network_lcc_fraction,r,0.1559050472206881,0.0963079005885779,0.26255035105398783,0.07734779751504564
network_lcc_fraction,beta,0.13339111041374088,0.09307454846458076,0.32829246605703244,0.08204509072479141
mean_fish_density,C_birth,0.04975333186001759,0.0618740372251591,0.0892612221281032,0.018835080144003504
mean_fish_density,c,0.6717587200511038,0.18938476631936416,0.7703817512779791,0.14761457461540606
mean_fish_density,v,0.03655102547943061,0.05288876952376195,0.0807133508606566,0.020304757380165087
mean_fish_density,r,0.0366268605183551,0.048014433111842086,0.061081602297148686,0.01550432385168799
mean_fish_density,beta,0.19876831738504971,0.10371673174331882,0.26383799786461126,0.060559364030406945
fleet_size,C_birth,0.018630634965380047,0.03537061896154899,0.04356529716674385,0.017761370855906473
fleet_size,c,0.7223637083725677,0.2953555265906805,0.9533660106090158,0.40671809227098293
fleet_size,v,-0.011747186440893448,0.03743965174591298,0.035698997929658464,0.016516053684378293
fleet_size,r,0.1801209435069864,0.15945409622075918,0.36019191830964764,0.13505185110590784
fleet_size,beta,0.09789263424887075,0.09349886566489847,0.11607777657297562,0.04151020351994183
wealth_gini,C_birth,0.13237340534851239,0.09686242110044126,0.26866088068824584,0.0644527302304271
wealth_gini,c,0.3351607223799341,0.16350447021927914,0.7743055148377611,0.18402721745863415
wealth_gini,v,0.026791857784436813,0.04395996075684267,0.08052245925596595,0.035532202523871945
wealth_gini,r,0.010822206826175124,0.07518087852751305,0.1552234121895112,0.06081698607336874
wealth_gini,beta,0.21924597032697313,0.1265517417239069,0.5380113145212934,0.12005681516544546
